career,scenario,emp_p05,emp_p50,emp_p95,g_adj_mean,g_adj_p05,g_adj_p95
software_engineer,Moderate_Substitution,1708467.2419097857,1762596.1203887342,1815387.3481769476,-0.0029462541138468934,-0.0060306272198913805,2.1339448061621565e-05
software_engineer,High_Disruption,1401708.6639880554,1492711.291329896,1585752.1087371113,-0.019398958468983027,-0.025508370982555602,-0.013411913573919684
electrician,Moderate_Substitution,963265.6649542397,963675.4147340391,964198.1039093094,0.008520738863374793,0.008475987017511451,0.008573564764601825
electrician,High_Disruption,963731.4629354794,964534.8756026875,965583.1005076705,0.008613338625130949,0.008524742403414212,0.008718345058941488
writer,Moderate_Substitution,272631.77671027614,279660.3164846467,286084.2786999556,-0.009529392884749854,-0.011995291571440548,-0.007225151131228924
writer,High_Disruption,236326.9373103457,249047.25635643248,260653.9790868837,-0.021018912342339293,-0.02601405572826517,-0.01642427240275479
