occ_code,net_risk_raw,net_risk_calibrated
11-1011,0.01818004873236182,0.7342567594167909
11-1021,-0.01844136195828331,0.45710134997050483
11-2011,0.01780695085298977,0.7314331080726519
11-2021,0.029218498417330298,0.817797125131626
11-2022,0.018334331377273645,0.7354243897405435
11-2033,0.01754273174254778,0.7294334648487281
11-3012,-0.05753355194898272,0.16124677422659503
11-3013,-0.08102366509526651,-0.01652933554683164
11-3021,0.004511939922250886,0.6308148050469018
11-3031,0.029113146471846978,0.8169998084516912
11-3051,-0.045215995792245535,0.2544675774566078
11-3061,0.02995395442494602,0.823363148042167
11-3071,-0.0011603616093414162,0.5878861186898561
11-3111,0.031967284557454186,0.838600281912829
11-3121,0.014259682784450892,0.7045869403415227
11-3131,0.021007140512317012,0.7556525430591688
11-9013,-0.11601865036353519,-0.2813757542860026
11-9021,-0.07370057874499625,0.038892696470578574
11-9031,-0.05416719343349058,0.18672379586799648
11-9032,-0.017402442659707987,0.4649640209640023
11-9033,0.013707318088402805,0.7004065753416571
11-9041,-0.018659842699321458,0.45544786043810886
11-9051,-0.11314486488425807,-0.2596265868959735
11-9071,-0.03587742433964902,0.3251430524253791
11-9072,-0.05846670269614025,0.15418457283877085
11-9081,-0.04639066989431888,0.24557749715696353
11-9111,0.006177677299074515,0.6434213135346118
11-9121,0.003013984733711804,0.6194780931130331
11-9131,-0.02012900591976461,0.4443290497143767
11-9141,-0.0009592203555927221,0.589408380817063
11-9151,-0.009716399541232518,0.5231329551298027
11-9161,-0.04429934080441335,0.26140493687784133
11-9171,-0.0643264175882945,0.10983751876451671
11-9179,-0.06228839867502707,0.12526150041113843
11-9199,-0.017938374653372877,0.46090802070791437
13-1011,0.0025054526033111684,0.6156294584438673
13-1021,-0.0358299050222185,0.32550268455398057
13-1022,-0.025482139463369996,0.40381586654861745
13-1023,0.01619115298345463,0.7192045480126255
13-1031,0.015495501895187013,0.713939773702612
13-1032,-0.04184314145497553,0.2799937602884326
13-1041,-0.02171546408623108,0.4323225361911623
13-1051,0.030539992812034282,0.8277983597410484
13-1071,0.013203096454342741,0.6965905630470981
13-1074,-0.063464528574836,0.11636040245242892
13-1075,0.005768971347203836,0.6403281758510111
13-1081,0.02136183339244311,0.7583369030705691
13-1111,0.02627223824815653,0.7954994602377055
13-1121,-0.06635994310501662,0.09444754370409218
13-1131,0.021474306929130372,0.7591881168420908
13-1141,0.009804111911136077,0.6708666235535634
13-1151,0.00585331121616324,0.6409664705117917
13-1161,0.04617656247634752,0.9461378716800346
13-1199,0.013113312107359922,0.6959110638967214
13-2011,0.03747531720058841,0.8802857608078659
13-2022,-0.03255351572191398,0.3502988079393447
13-2023,0.004388383385595412,0.629879713747558
13-2031,0.02357369894530333,0.7750765777958714
13-2041,0.017977178991896367,0.7327214158862554
13-2052,0.03271443529970122,0.8442548120355167
13-2053,0.01821162947100095,0.7344957663906643
13-2061,0.02347541158876089,0.7743327268072782
13-2071,0.016612922950632252,0.7223965557955241
13-2072,0.009834270104133833,0.6710948645243732
13-2081,-0.0016228842746200817,0.5843856893984678
13-2082,0.01686460565732267,0.7243013219502902
13-2099,0.031836381598448496,0.837609591971706
15-1211,8.495198132611043e-05,0.5973108074607519
15-1212,0.00888670650547086,0.6639235848764562
15-1221,0.0031643462253139534,0.6206160476588584
15-1231,-0.029650014754132925,0.3722728658572886
15-1232,-0.0412042298478504,0.28482912311944397
15-1241,-0.0211371623307016,0.4366991960962441
15-1242,0.025906591991994438,0.7927322037085901
15-1243,0.04773285201891151,0.9579160652900497
15-1244,-0.027211103986995784,0.3907308471180029
15-1251,0.021285245987424643,0.7577572800250334
15-1252,0.03853487454824285,0.8883046231341063
15-1253,0.03399573855306375,0.853951875068134
15-1254,0.024216334217032558,0.7799401217856237
15-1255,0.03050336257278288,0.8275211375159518
15-1299,0.010756471851480952,0.6780742025143037
15-2011,0.05329353387451886,1.0
15-2021,0.050764906321352346,0.9808630308986418
15-2031,0.04712237311697267,0.953295884722609
15-2041,0.046359389769161374,0.9475215314638101
15-2051,0.051379696926571225,0.985515842974958
15-2099,0.03961406134712607,0.8964720435986028
17-1011,0.0024723001227321267,0.615378556330711
17-1012,-0.01555930100133152,0.47891314720903055
17-1021,-0.01928271082496201,0.450733916678508
17-1022,-0.062397541718282254,0.12443549222982796
17-2011,0.029638402197277827,0.8209750093765147
17-2021,-0.022538733478692008,0.4260919306178388
17-2031,-0.013967088845883269,0.49096320763942625
17-2041,0.024006374859600783,0.7783511231485246
17-2051,0.02497416337451449,0.7856754674883465
17-2061,-0.0018471666039370782,0.582688292721466
17-2071,-0.006837773636677723,0.5449187554628132
17-2072,-0.02466568472410774,0.4099948979755088
17-2081,0.005324473599047308,0.6369641613833832
17-2111,0.004547210757993525,0.6310817391364796
17-2112,-0.005384150416723077,0.5559199575221886
17-2121,-0.046779254849975416,0.24263663768545318
17-2131,-0.018017366239832876,0.4603102025169913
17-2141,-0.005435135690254299,0.555534094604983
17-2151,0.030539028939674504,0.8277910650346597
17-2161,0.01060029220082579,0.6768922154141847
