career,occ_code,occ_title,net_risk,emp_2024,emp_2034_baseline,emp_2034_high,delta_high
software_engineer,15-1251,Computer Programmers,0.7577572800250334,121200.0,113900.00000000012,85229.04323643734,-28670.956763562775
software_engineer,15-1252,Software Developers,0.8883046231341063,1693800.0,1961399.9999999988,1404979.5884667938,-556420.4115332051
electrician,47-2111,Electricians,-0.8885727887083509,818700.0,896100.0,897706.353391804,1606.353391804034
electrician,47-3013,Helpers--Electricians,-0.8850891937996034,66600.0,66700.00000000007,66914.71019415096,214.71019415088813
writer,27-3041,Editors,0.613237434941895,115800.0,116500.0,92340.08480579208,-24159.91519420792
writer,27-3042,Technical Writers,0.590961083709815,56400.0,56899.99999999998,45489.593782001146,-11410.406217998832
writer,27-3043,Writers and Authors,0.6145876771021319,135400.0,140300.00000000006,111224.0917906727,-29075.90820932736
