occ_code,ai_applicability,ai_applicability_pred,residual
11-1011,0.155502898114603,0.255245808487528,-0.09974291037292499
11-1021,0.1098432195788855,0.21862439779688286,-0.10878117821799736
11-2011,0.1885254605728116,0.2548727106081559,-0.06634725003534431
11-2021,0.189169815798872,0.26628425817249646,-0.07711444237362447
11-2022,0.1641752821433747,0.2554000911324398,-0.09122480898906507
11-2033,0.1430364545172935,0.2546084914977139,-0.11157203698042042
11-3012,0.087051420149971,0.17953220780618345,-0.09248078765621245
11-3013,0.061712782287566,0.15604209465989963,-0.09432931237233363
11-3021,0.1518935143886481,0.24157769967741705,-0.08968418528876895
11-3031,0.1488033543322555,0.2661789062270131,-0.11737555189475762
11-3051,0.120291104514479,0.19184976396292064,-0.07155865944844164
11-3061,0.1054953784861409,0.26701971418011217,-0.16152433569397126
11-3071,0.2052544480218617,0.23590539814582473,-0.030650950123963017
11-3111,0.1413063122763342,0.2690330443126203,-0.12772673203628612
11-3121,0.1370417874755325,0.251325442539617,-0.11428365506408453
11-3131,0.1929281337086295,0.2580729002674832,-0.0651447665588537
11-9013,0.0760415998206166,0.12104710939163096,-0.04500550957101436
11-9021,0.1450059596749093,0.16336518101016992,-0.018359221335260606
11-9031,0.1250853144025206,0.18289856632167556,-0.05781325191915496
11-9032,0.1354808218950337,0.21966331709545817,-0.08418249520042448
11-9033,0.0963499956506892,0.25077307784356895,-0.15442308219287976
11-9041,0.1633904362843628,0.2184059170558447,-0.055015480771481884
11-9051,0.0910198233667274,0.1239208948709081,-0.0329010715041807
11-9071,0.1853735682141986,0.20118833541551714,-0.015814767201318553
11-9072,0.2533459109310163,0.1785990570590259,0.07474685387199043
11-9081,0.18340282980745,0.19067508986084727,-0.0072722600533972614
11-9111,0.1632890896536952,0.24324343705424067,-0.07995434740054547
11-9121,0.1124388172316094,0.24007974448887795,-0.12764092725726855
11-9131,0.109145181347645,0.21693675383540154,-0.10779157248775653
11-9141,0.1393378763368064,0.23610653939957343,-0.09676866306276705
11-9151,0.1558151951411868,0.22734936021393365,-0.07153416507274685
11-9161,0.1981796325021372,0.1927664189507528,0.005413213551384383
11-9171,0.1661957666237465,0.17273934216687167,-0.00654357554312518
11-9179,0.1462881503266213,0.17477736108013908,-0.02848921075351779
11-9199,0.145778869882199,0.21912738510179328,-0.07334851521959426
13-1011,0.2688759857688543,0.23957121235847734,0.02930477341037696
13-1031,0.2070534121617936,0.25256126165035314,-0.04550784948855954
13-1032,0.2717524685827721,0.19522261830019064,0.07652985028258144
13-1041,0.1991136866828754,0.21535029566893507,-0.016236608986059664
13-1051,0.2547360531717686,0.26760575256720043,-0.01286969939543181
13-1071,0.200716339295252,0.2502688562095089,-0.04955251691425688
13-1074,0.0404971901425207,0.17360123118033016,-0.13310404103780946
13-1075,0.0672593120023154,0.24283473110236997,-0.17557541910005459
13-1081,0.1623173857191718,0.25842759314760927,-0.09611020742843748
13-1111,0.3528923037864668,0.2633379980033227,0.0895543057831441
13-1121,0.1465079327379848,0.17070581665014956,-0.024197883912164764
13-1131,0.1225011548080756,0.2585400666842965,-0.1360389118762209
13-1141,0.1671532331445428,0.24686987166630225,-0.07971663852175945
13-1151,0.241747642458221,0.24291907097132936,-0.0011714285131083635
13-1161,0.3497337016289346,0.2832423222315137,0.06649137939742089
13-1199,0.2185212616558617,0.2501790718625261,-0.03165781020666439
13-2011,0.1945955951093146,0.2745410769557546,-0.07994548184643999
13-2031,0.2340858486198604,0.2606394587004695,-0.026553610080609108
13-2041,0.1616323362699462,0.2550429387470625,-0.09341060247711633
13-2052,0.3552253488700088,0.2697801950548674,0.0854451538151414
13-2053,0.1609551764612808,0.2552773892261671,-0.09432221276488631
13-2061,0.139213205327712,0.260541171343927,-0.12132796601621501
13-2071,0.2885017178636657,0.2536786827057984,0.03482303515786728
13-2072,0.2470758453421993,0.24690002985929999,0.00017581548289932747
13-2081,0.3399250265932537,0.23544287548054607,0.10448215111270762
13-2082,0.3116015023266654,0.2539303654124888,0.05767113691417658
13-2099,0.2458433192127292,0.2689021413536147,-0.023058822140885477
15-1211,0.3126242495751441,0.23715071173649227,0.07547353783865185
15-1212,0.2219611271797774,0.24595246626063702,-0.023991339080859625
15-1221,0.1692589723694258,0.2402301059804801,-0.07097113361105431
15-1231,0.3021365326556254,0.2074157450010332,0.09472078765459219
15-1232,0.3338895909418416,0.19586152990731576,0.13802806103452586
15-1241,0.2519702133697844,0.21592859742446455,0.03604161594531988
15-1242,0.2973959596735356,0.2629723517471606,0.034423607926375
15-1243,0.3119656545554473,0.2847986117740776,0.027167042781369666
15-1244,0.2525255513865505,0.20985465576817036,0.04267089561838011
15-1251,0.3100317881564861,0.2583510057425908,0.05168078241389529
15-1252,0.2781568192011152,0.275600634303409,0.002556184897706204
15-1253,0.3277339225342325,0.2710614983082299,0.056672424226002605
15-1254,0.3531275801205572,0.2612820939721987,0.09184548614835852
15-1255,0.2940247387286297,0.26756912232794905,0.02645561640068067
