scenario,s_value,source,target_delta_g_at_p90,p90_positive_netrisk,adoption_curve,curve_scope,adoption_params,adoption_start_year,adoption_end_year
No_GenAI_Baseline,0.0,default,,,,,,,
Moderate_Substitution,0.0187424505647409,calibrated,0.015,0.8003222389829121,,,,,
High_Disruption,0.0374849011294818,calibrated,0.03,0.8003222389829121,,,,,
Ramp_Moderate,0.0187424505647409,derived_from_calibrated,,,logistic,career,"software_engineer:k=1.1,t0=2027.5; writer:k=0.95,t0=2027.0; electrician:k=0.7,t0=2029.5",2024.0,2034.0
Ramp_High,0.0374849011294818,derived_from_calibrated,,,logistic,career,"software_engineer:k=1.1,t0=2027.5; writer:k=0.95,t0=2027.0; electrician:k=0.7,t0=2029.5",2024.0,2034.0
