area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
31,Nebraska,2,15-1251,Computer Programmers,1390.0,95890.0,46.1,93620.0,45.01,58370.0,64060.0,123650.0,149080.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
32,Nevada,2,15-1251,Computer Programmers,420.0,95290.0,45.81,92650.0,44.54,54060.0,65620.0,108160.0,147150.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
33,New Hampshire,2,15-1251,Computer Programmers,590.0,80900.0,38.89,80880.0,38.89,52920.0,55850.0,103430.0,122710.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
34,New Jersey,2,15-1251,Computer Programmers,4000.0,112930.0,54.29,102770.0,49.41,63610.0,78310.0,134700.0,183340.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
35,New Mexico,2,15-1251,Computer Programmers,490.0,93270.0,44.84,83680.0,40.23,65510.0,71510.0,110360.0,134170.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
36,New York,2,15-1251,Computer Programmers,7090.0,108910.0,52.36,100410.0,48.27,63390.0,79740.0,126260.0,172320.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
37,North Carolina,2,15-1251,Computer Programmers,3880.0,92590.0,44.52,95770.0,46.04,44550.0,65970.0,113720.0,139110.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
38,North Dakota,2,15-1251,Computer Programmers,230.0,93810.0,45.1,88910.0,42.75,62090.0,72940.0,109170.0,131380.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
39,Ohio,2,15-1251,Computer Programmers,2030.0,93790.0,45.09,99520.0,47.85,54660.0,71350.0,108230.0,128400.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
40,Oklahoma,2,15-1251,Computer Programmers,1420.0,111370.0,53.54,100910.0,48.51,65990.0,75410.0,162610.0,164420.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
41,Oregon,2,15-1251,Computer Programmers,1180.0,119540.0,57.47,126980.0,61.05,75750.0,86930.0,138780.0,140340.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
42,Pennsylvania,2,15-1251,Computer Programmers,4130.0,89210.0,42.89,84770.0,40.76,52080.0,70730.0,105890.0,131840.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
44,Rhode Island,2,15-1251,Computer Programmers,360.0,100460.0,48.3,94560.0,45.46,64650.0,77200.0,120560.0,143860.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
45,South Carolina,2,15-1251,Computer Programmers,880.0,102980.0,49.51,100620.0,48.38,58000.0,75820.0,128430.0,141480.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
46,South Dakota,2,15-1251,Computer Programmers,70.0,69960.0,33.63,56520.0,27.17,55420.0,56520.0,79410.0,112900.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
47,Tennessee,2,15-1251,Computer Programmers,1300.0,130630.0,62.8,99270.0,47.73,49340.0,66520.0,215580.0,215580.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
48,Texas,2,15-1251,Computer Programmers,11220.0,91560.0,44.02,80820.0,38.85,41700.0,55350.0,124760.0,145670.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
49,Utah,2,15-1251,Computer Programmers,1200.0,95060.0,45.7,88410.0,42.51,59860.0,71920.0,114930.0,136050.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
50,Vermont,2,15-1251,Computer Programmers,150.0,82510.0,39.67,78230.0,37.61,52310.0,64980.0,95270.0,117640.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
51,Virginia,2,15-1251,Computer Programmers,4210.0,113730.0,54.68,111860.0,53.78,60760.0,72580.0,153450.0,166830.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
53,Washington,2,15-1251,Computer Programmers,3220.0,159090.0,76.49,158820.0,76.36,89040.0,119060.0,201230.0,235740.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
54,West Virginia,2,15-1251,Computer Programmers,190.0,71800.0,34.52,65140.0,31.32,26940.0,46160.0,89240.0,115740.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
55,Wisconsin,2,15-1251,Computer Programmers,3020.0,104080.0,50.04,109580.0,52.68,60910.0,77720.0,145950.0,145950.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
56,Wyoming,2,15-1251,Computer Programmers,60.0,95540.0,45.93,105420.0,50.68,54400.0,78730.0,116420.0,121360.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
8,Colorado,2,15-1251,Computer Programmers,1090.0,130130.0,62.56,124880.0,60.04,70720.0,81540.0,164480.0,193790.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
1,Alabama,2,15-1252,Software Developers,18020.0,117380.0,56.43,113020.0,54.34,63670.0,82610.0,141140.0,176060.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
2,Alaska,2,15-1252,Software Developers,430.0,132940.0,63.91,119600.0,57.5,92980.0,95930.0,167140.0,196500.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
4,Arizona,2,15-1252,Software Developers,35650.0,133140.0,64.01,128690.0,61.87,80300.0,100320.0,157710.0,186280.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
5,Arkansas,2,15-1252,Software Developers,6390.0,100380.0,48.26,96820.0,46.55,55030.0,77550.0,119770.0,160700.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
6,California,2,15-1252,Software Developers,292630.0,185750.0,89.3,170910.0,82.17,103950.0,134820.0,212280.0,,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
9,Connecticut,2,15-1252,Software Developers,16490.0,136530.0,65.64,130870.0,62.92,80460.0,102610.0,164180.0,203160.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
10,Delaware,2,15-1252,Software Developers,3850.0,136170.0,65.47,135160.0,64.98,93850.0,111110.0,162060.0,169070.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11,District of Columbia,2,15-1252,Software Developers,8250.0,143810.0,69.14,136040.0,65.4,87120.0,114690.0,166970.0,203560.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
12,Florida,2,15-1252,Software Developers,82610.0,128290.0,61.68,126550.0,60.84,75260.0,98710.0,158430.0,174030.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
13,Georgia,2,15-1252,Software Developers,47350.0,128310.0,61.69,128920.0,61.98,75950.0,101230.0,158030.0,173650.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
15,Hawaii,2,15-1252,Software Developers,1940.0,124960.0,60.08,119880.0,57.64,53840.0,80710.0,167110.0,194220.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
16,Idaho,2,15-1252,Software Developers,4960.0,125460.0,60.32,107900.0,51.87,62750.0,81020.0,137310.0,168060.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
17,Illinois,2,15-1252,Software Developers,54490.0,127030.0,61.07,127770.0,61.43,75450.0,98800.0,159280.0,172020.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
18,Indiana,2,15-1252,Software Developers,12690.0,107610.0,51.74,103570.0,49.79,68680.0,81830.0,129050.0,151450.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
19,Iowa,2,15-1252,Software Developers,9840.0,116000.0,55.77,109850.0,52.81,70650.0,89300.0,134260.0,169200.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
20,Kansas,2,15-1252,Software Developers,15850.0,112900.0,54.28,106660.0,51.28,66870.0,81590.0,133220.0,163670.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
21,Kentucky,2,15-1252,Software Developers,7070.0,114200.0,54.9,106200.0,51.06,71330.0,85410.0,134150.0,164770.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
22,Louisiana,2,15-1252,Software Developers,3870.0,119790.0,57.59,102290.0,49.18,64480.0,80170.0,124550.0,154220.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
23,Maine,2,15-1252,Software Developers,2740.0,118110.0,56.78,113800.0,54.71,76860.0,92190.0,138730.0,170700.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
24,Maryland,2,15-1252,Software Developers,31940.0,150800.0,72.5,137890.0,66.29,86490.0,107670.0,175900.0,218190.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
