career,scenario,emp_p05,emp_p50,emp_p95
software_engineer,Ramp_Moderate_Substitution,1838213.4494758742,1886509.1091155857,1927831.7042333202
software_engineer,Ramp_High_Disruption,1624637.9730332575,1712041.721757741,1789772.543271331
electrician,Ramp_Moderate_Substitution,962985.7712481128,963157.0652315567,963394.5262890669
electrician,Ramp_High_Disruption,963171.2080628449,963511.8249254092,963980.2232646208
writer,Ramp_Moderate_Substitution,285600.17629187374,292271.1910486847,297941.83990545146
writer,Ramp_High_Disruption,259769.73843232903,272159.3871146691,282565.0919713306
