covariate,judges_coef,judges_pvalue,judges_sig,fans_coef,fans_pvalue,fans_sig,same_sign
week,-0.041830350120178,1.2147259506286822e-11,***,-0.21659143915263052,1.9011133716208036e-06,***,True
age,-0.03333823616559245,3.377069767821537e-91,***,-0.26800100538357147,5.096994474846142e-94,***,True
industry_dummy,0.18272123334897267,3.04925523561769e-06,***,2.2455414902821156,7.852404773181464e-15,***,True
region_us,-0.13383344771603076,0.012931007719291827,**,1.159374312196933,0.003309728388939714,***,False
