season,week,rule_regime,n_active,observed_eliminated,observed_eliminated_name,observed_eliminated_partner,model_map_eliminated,model_elim_prob_observed,model_log_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_elim_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_elim_prob_observed,judges_only_map_eliminated,judges_only_map_matches_observed
4,7,percent,6,4,John Ratzenberger,Edyta Sliwinska,1,0.1795762531686208,-1.7171553525206553,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.781860219977043,0.16832473481658528,1,False
4,8,percent,5,1,Billy Ray Cyrus,Karina Smirnoff,1,0.22108379866781805,-1.5092134698423714,1,True,-1.6094379124341003,0.2,0.2,-1.5864953400780082,0.20464155548961244,1,True
4,9,percent,4,1,Ian Ziering,Cheryl Burke,1,0.27675002192847825,-1.2846406281577,1,True,-1.3862943611198906,0.25,0.25,-1.3837964742128817,0.2506252523064252,1,True
5,1,percent,12,6,Josie Maran,Alec Mazo,6,0.08690387930755199,-2.4429526066536402,1,True,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.474932776953827,0.08416864814005842,6,True
5,2,percent,11,0,Albert Reed,Anna Trebunskaya,10,0.0942273364706943,-2.3620449434190003,3,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.396648917691414,0.09102246655729683,10,False
5,3,percent,10,9,Wayne Newton,Cheryl Burke,9,0.10511752936362147,-2.252676227531726,1,True,-2.302585092994046,0.1,0.1,-2.2909063637752793,0.10117471918360535,9,True
5,4,percent,9,1,Floyd Mayweather Jr. ,Karina Smirnoff,6,0.11663867190486157,-2.1486743970618054,2,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.191159477316704,0.11178705888662775,6,False
5,5,percent,8,5,Mark Cuban,Kym Johnson,4,0.1323533564911914,-2.0222799899113646,1,False,-2.0794415416798357,0.125,0.125,-2.070236656046501,0.12615592261012282,4,False
5,6,percent,7,6,Sabrina Bryan,Mark Ballas,2,0.0941953631930333,-2.3623843216152043,7,False,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9440532215099897,0.1431226646718491,2,False
5,7,percent,6,2,Jane Seymour,Tony Dovolani,2,0.17835822585155056,-1.723961246280908,1,True,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7887238275371342,0.16717337565283327,2,True
5,8,percent,5,0,Cameron Mathison,Edyta Sliwinska,3,0.2168410973690787,-1.5285904638710273,3,False,-1.6094379124341003,0.2,0.2,-1.6065723733878916,0.20057392972553453,3,False
5,9,percent,4,1,Jennie Garth,Derek Hough,2,0.2762358928923685,-1.286500093907075,2,False,-1.3862943611198906,0.25,0.25,-1.385287481510396,0.2502518466707354,2,False
6,2,percent,12,7,Monica Seles,Jonathan Roberts,7,0.08703703279534102,-2.4414215865826425,1,True,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.473103129834864,0.08432278803243991,7,True
6,3,percent,10,9,Steve Guttenberg,Anna Trebunskaya,5,0.10432547179079647,-2.260239730197023,2,False,-2.302585092994046,0.1,0.1,-2.2988573909845584,0.10037346585318847,5,False
6,4,percent,9,0,Adam Carolla,Julianne Hough,0,0.11745727420577179,-2.1416806353057467,1,True,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.184610503965093,0.11252155181850991,0,True
6,5,percent,8,6,Priscilla Presley,Louis van Amstel,6,0.13226143389193196,-2.02297475533112,1,True,-2.0794415416798357,0.125,0.125,-2.0710001972128995,0.12605963413461044,6,True
6,6,percent,7,5,Marlee Matlin,Fabian Sanchez,5,0.15282736015930315,-1.878446359644618,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9335259886217135,0.1446373088121994,5,True
6,7,percent,6,5,Shannon Elizabeth,Derek Hough,0,0.17799758242478092,-1.7259853106655398,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7910024171185257,0.16679288979096765,0,False
6,8,percent,5,3,Mario,Karina Smirnoff,4,0.13478718536410877,-2.00405814908728,5,False,-1.6094379124341003,0.2,0.2,-1.6087372055247524,0.2001401904923569,4,False
6,9,percent,4,3,Marissa Jaret Winokur,Tony Dovolani,3,0.27777000362134013,-1.2809618328168821,1,True,-1.3862943611198906,0.25,0.25,-1.3798407604948981,0.25161861749387565,3,True
7,1,percent,13,3,Jeffrey Ross,Edyta Sliwinska,3,0.08032439049932158,-2.521681961941508,1,True,-2.5649493574615367,0.07692307692307693,0.07692307692307693,-2.5510797711665565,0.0779974011711224,3,True
7,2,percent,11,3,Kim Kardashian,Mark Ballas,1,0.09475642724448449,-2.356445603605328,3,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3912877067351963,0.09151176765348376,1,False
7,4,percent,9,5,Rocco DiSpirito,Karina Smirnoff,5,0.11720689509178411,-2.1438145717285884,1,True,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.1866070299008853,0.1122971237347633,5,True
7,5,percent,8,6,Toni Braxton,Alec Mazo,1,0.13188711560471353,-2.0258089070876855,3,False,-2.0794415416798357,0.125,0.125,-2.0736981550056237,0.12571998894256775,1,False
7,6,percent,7,1,Cloris Leachman,Corky Ballas,1,0.154539464202894,-1.8673057835275264,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9227011569207741,0.14621148807914966,1,True
7,7,percent,6,4,Susan Lucci,Tony Dovolani,5,0.17822939516791755,-1.7246838215002611,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7901904636981183,0.16692837284385384,5,False
7,8,percent,5,3,Maurice Greene,Cheryl Burke,3,0.21763385389445383,-1.5249411975423675,1,True,-1.6094379124341003,0.2,0.2,-1.6038782754471008,0.20111502408991158,1,False
7,9,percent,4,1,Cody Linley,Julianne Hough,0,0.17376829625027848,-1.7500324979212427,4,False,-1.3862943611198906,0.25,0.25,-1.3763211830695277,0.252505768983194,1,True
8,2,percent,13,0,Belinda Carlisle,Jonathan Roberts,11,0.0795444998260864,-2.5314386676812624,4,False,-2.5649493574615367,0.07692307692307693,0.07692307692307693,-2.5607063322188974,0.0772501568937803,11,False
8,3,percent,12,2,Denise Richards,Maksim Chmerkoskiy,9,0.08683769646283532,-2.4437144605464045,3,False,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.475317127091659,0.08413630412465621,9,False
8,4,percent,11,3,Holly Madison,Dmitry Chaplin,8,0.09522564665719745,-2.351505975806214,3,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3862077383623785,0.09197782732082513,8,False
8,5,percent,9,1,David Alan Grier,Kym Johnson,7,0.11628999379907813,-2.1516682610001023,4,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.194243093713607,0.11144288140726583,7,False
8,6,percent,8,6,Steve-O,Lacey Schwimmer,6,0.13358076838900138,-2.0130489774253912,1,True,-2.0794415416798357,0.125,0.125,-2.0610254596942053,0.1273233379761582,6,True
8,7,percent,7,2,Lawrence Taylor,Edyta Sliwinska,2,0.15292807627076183,-1.8777875578501029,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9329133632228994,0.14472594444864278,2,True
8,8,percent,6,0,Chuck Wicks,Julianne Hough,3,0.1781218970913688,-1.7252871479488787,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7902526174526667,0.16691799794116385,3,False
